listingId,title,policyName,policyId,internationalRateTable,beforeEuCost,beforeEuRegion,price
398126687549,[Near MINT] Canon Autoboy 2 AF35M II Sure Shot 35mm Film Camera 38mm f/2.8 Japan,CAM0200G-V2,254203191025,INT-AP-0200G-V2,44.99,"Europe (including UK) - Austria, Belgium, Bulgaria, Croatia, Republic of, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden",US $109.99
398039107002,[Near MINT w/Box] Nikon AS-1 Flash Unit Gun Coupler for F2 From JAPAN,CAM0200G-V2,254203191025,INT-AP-0200G-V2,44.99,"Europe (including UK) - Austria, Belgium, Bulgaria, Croatia, Republic of, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden",US $39.99
398123857147,[MINT] Nikon AR-3 Shutter Cable Release for FM2 FM3A F3 FE2 From JAPAN,CAM0200G-V2,254203191025,INT-AP-0200G-V2,44.99,"Europe (including UK) - Austria, Belgium, Bulgaria, Croatia, Republic of, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden",US $44.99
398089516110,Nikon AR-3 Shutter Cable Release for FM2 FM3A F3 FE2 From JAPAN,CAM0200G-V2,254203191025,INT-AP-0200G-V2,44.99,"Europe (including UK) - Austria, Belgium, Bulgaria, Croatia, Republic of, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden",US $39.99
398039098132,[MINT] Nikon AR-2 Bell Shutter Cable Release For Nikon F F2 Nikkormat From Japan,CAM0200G-V2,254203191025,INT-AP-0200G-V2,44.99,"Europe (including UK) - Austria, Belgium, Bulgaria, Croatia, Republic of, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden",US $39.99
398078719400,[TOP MINT] Nikon Focusing Screen Type B Red Dot F3 F3HP F3/T From JAPAN,CAM0200G-V2,254203191025,INT-AP-0200G-V2,44.99,"Europe (including UK) - Austria, Belgium, Bulgaria, Croatia, Republic of, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden",US $59.99
398102623485,Nikon Focusing Screen Type K Red Split Micro Prism for F3,CAM0100G-V2,254203188025,INT-AP-0100G-V2,44.99,"Europe (including UK) - Austria, Belgium, Bulgaria, Croatia, Republic of, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden",US $39.99
398123832005,[TOP MINT] Nikon AR-1 Genuine Soft Shutter Release F F2 Nikkormat FTN Japan,CAM0100G-V2,254203188025,INT-AP-0100G-V2,44.99,"Europe (including UK) - Austria, Belgium, Bulgaria, Croatia, Republic of, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden",US $51.99
398079240179,[TOP MINT] Canon AF35M Autoboy Sure Shot 35mm Film Camera From Japan,CAM0700G-V2,254203195025,INT-AP-0700G-V2,59.99,"Europe (including UK) - Austria, Belgium, Bulgaria, Croatia, Republic of, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden",US $104.99
398123881129,[EXC+5] Canon Autoboy 2 AF35M II Sure Shot 35mm Film Camera 38mm f/2.8 Japan,CAM0700G-V2,254203195025,INT-AP-0700G-V2,59.99,"Europe (including UK) - Austria, Belgium, Bulgaria, Croatia, Republic of, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden",US $109.99
398074278140,[Near MINT] Nikon EM 35mm Film SLR Camera Body Tested Meter Works w/Cap Japan,CAM0900G-V2,254203198025,INT-AP-0900G-V2,69.99,"Europe (including UK) - Austria, Belgium, Bulgaria, Croatia, Republic of, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden",US $52.99
398079014589,[TOP MINT] Nikon ED AF Nikkor 70-300mm f/4-5.6 D Telephoto Lens From JAPAN,CAM0900G-V2,254203198025,INT-AP-0900G-V2,69.99,"Europe (including UK) - Austria, Belgium, Bulgaria, Croatia, Republic of, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden",US $121.99
398089512817,[Near MINT] Nikon DG-2 Eyepiece 2x Magnifier for F3 FM3A FM2 FE2,CAM0300G-V2,254198703025,INT-AP-0300G-V2,44.99,"Europe (including UK) - Austria, Belgium, Bulgaria, Croatia, Republic of, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden",US $49.99
