policyName,policyId,listingCount,internationalService,internationalRateTable,internationalRateTableValue,domesticService,domesticShippingPrice,internationalBasePrice,handlingDays,hasDdpText,hasSpeedPAKDHL,hasFedEx,exclusionsText
CAM0200G-V2,254203191025,6,Economy International Shipping,INT-AP-0200G-V2,5299659015,eBay SpeedPAK Economy,27.99,44.99,3,false,false,false,
CAM0100G-V2,254203188025,2,Economy International Shipping,INT-AP-0100G-V2,5299658015,eBay SpeedPAK Economy,26.99,44.99,3,false,false,false,
CAM0700G-V2,254203195025,2,Economy International Shipping,INT-AP-0700G-V2,5299663015,eBay SpeedPAK Economy,35.99,59.99,3,false,false,false,
CAM0900G-V2,254203198025,2,Economy International Shipping,INT-AP-0900G-V2,5299665015,eBay SpeedPAK Economy,41.99,69.99,3,false,false,false,
CAM0300G-V2,254198703025,1,Economy International Shipping,INT-AP-0300G-V2,5299652015,eBay SpeedPAK Economy,29.99,44.99,3,false,false,false,
CAM0400G-V2,254203192025,0,Economy International Shipping,INT-AP-0400G-V2,5299660015,eBay SpeedPAK Economy,31.99,49.99,3,false,false,false,
CAM0500G-V2,254203193025,0,Economy International Shipping,INT-AP-0500G-V2,5299661015,eBay SpeedPAK Economy,33.99,49.99,3,false,false,false,
CAM0600G-V2,254203194025,0,Economy International Shipping,INT-AP-0600G-V2,5299662015,eBay SpeedPAK Economy,35.99,59.99,3,false,false,false,
CAM0800G-V2,254203196025,0,Economy International Shipping,INT-AP-0800G-V2,5299664015,eBay SpeedPAK Economy,39.99,59.99,3,false,false,false,
CAM1000G-V2,254203199025,0,Economy International Shipping,INT-AP-1000G-V2,5299666015,eBay SpeedPAK Economy,41.99,69.99,3,false,false,false,
CAM1100G-V2,254203200025,0,Economy International Shipping,INT-AP-1100G-V2,5299667015,eBay SpeedPAK Economy,49.99,84.99,3,false,false,false,
CAM1200G-V2,254203201025,0,Economy International Shipping,INT-AP-1200G-V2,5299668015,eBay SpeedPAK Economy,49.99,84.99,3,false,false,false,
CAM1300G-V2,254203202025,0,Economy International Shipping,INT-AP-1300G-V2,5299669015,eBay SpeedPAK Economy,49.99,84.99,3,false,false,false,
CAM1400G-V2,254203203025,0,Economy International Shipping,INT-AP-1400G-V2,5299670015,eBay SpeedPAK Economy,49.99,84.99,3,false,false,false,
CAM1500G-V2,254203204025,0,Economy International Shipping,INT-AP-1500G-V2,5299671015,eBay SpeedPAK Economy,49.99,84.99,3,false,false,false,
CAM1600G-V2,254203205025,0,Economy International Shipping,INT-AP-1600G-V2,5299672015,eBay SpeedPAK Economy,52.99,99.99,3,false,false,false,
CAM1700G-V2,254203206025,0,Economy International Shipping,INT-AP-1700G-V2,5299673015,eBay SpeedPAK Economy,52.99,99.99,3,false,false,false,
CAM1800G-V2,254203207025,0,Economy International Shipping,INT-AP-1800G-V2,5299674015,eBay SpeedPAK Economy,52.99,99.99,3,false,false,false,
CAM1900G-V2,254203208025,0,Economy International Shipping,INT-AP-1900G-V2,5299675015,eBay SpeedPAK Economy,52.99,99.99,3,false,false,false,
CAM2000G-V2,254203209025,0,Economy International Shipping,INT-AP-2000G-V2,5299676015,eBay SpeedPAK Economy,52.99,99.99,3,false,false,false,
