id,kind,brand,name,aliases,genre,genreJa,format,focus,lensType,mount,year,weightG,weightMinG,weightMaxG,weightCondition,dataType,confidence,sourceId,packingProfile,packingDefaultG,packingMinG,packingMaxG
agfaagfaisoletteiii,camera,Agfa,Agfa Isolette III,Isolette III | アグファ,Medium-format folding camera,中判フォールディング,120,MF,fixed,Fixed lens,1950,620,620,620,with fixed lens,reference,B,compiled-specs,camera-large,460,380,560
bronicabronica100mmf35zenzanonpg,lens,Bronica,Bronica 100mm f/3.5 Zenzanon PG,Zenza Bronica | ブロニカ,Medium-format lens,中判レンズ,120,MF,lens,Bronica GS-1,,,460,610,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
bronicabronica105mmf35zenzanons,lens,Bronica,Bronica 105mm f/3.5 Zenzanon-S,Zenza Bronica | ブロニカ,Medium-format lens,中判レンズ,120,MF,lens,Bronica S/PS,,,460,610,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
bronicabronica110mmf4macrozenzanonps,lens,Bronica,Bronica 110mm f/4 Macro Zenzanon-PS,Zenza Bronica | ブロニカ,Medium-format lens,中判レンズ,120,MF,lens,Bronica S/PS,,,460,610,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
bronicabronica110mmf40zenzanonpg,lens,Bronica,Bronica 110mm f/4.0 Zenzanon PG,Zenza Bronica | ブロニカ,Medium-format lens,中判レンズ,120,MF,lens,Bronica GS-1,,,460,610,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
bronicabronica135mmf4zenzanonps,lens,Bronica,Bronica 135mm f/4 Zenzanon-PS,Zenza Bronica | ブロニカ,Medium-format lens,中判レンズ,120,MF,lens,Bronica S/PS,,,460,610,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
bronicabronica140280mmf56zenzanonsvariogon,lens,Bronica,Bronica 140-280mm f/5.6 Zenzanon-S Variogon,Zenza Bronica | ブロニカ,Medium-format lens,中判レンズ,120,MF,lens,Bronica S/PS,,,460,610,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
bronicabronica150mmf35zenzanonmce,lens,Bronica,Bronica 150mm f/3.5 Zenzanon MC E,Zenza Bronica | ブロニカ,Medium-format lens,中判レンズ,120,MF,lens,Bronica E/PE,,,460,610,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
bronicabronica150mmf35zenzanons,lens,Bronica,Bronica 150mm f/3.5 Zenzanon-S,Zenza Bronica | ブロニカ,Medium-format lens,中判レンズ,120,MF,lens,Bronica S/PS,,,460,610,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
bronicabronica150mmf40zenzanonpg,lens,Bronica,Bronica 150mm f/4.0 Zenzanon PG,Zenza Bronica | ブロニカ,Medium-format lens,中判レンズ,120,MF,lens,Bronica GS-1,,,460,610,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
bronicabronica150mmf40zenzanonps,lens,Bronica,Bronica 150mm f/4.0 Zenzanon PS,Zenza Bronica | ブロニカ,Medium-format lens,中判レンズ,120,MF,lens,Bronica S/PS,,,460,610,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
bronicabronica200mmf45zenzanonpg,lens,Bronica,Bronica 200mm f/4.5 Zenzanon PG,Zenza Bronica | ブロニカ,Medium-format lens,中判レンズ,120,MF,lens,Bronica GS-1,,,460,610,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
bronicabronica200mmf45zenzanonps,lens,Bronica,Bronica 200mm f/4.5 Zenzanon PS,Zenza Bronica | ブロニカ,Medium-format lens,中判レンズ,120,MF,lens,Bronica S/PS,,,460,610,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
bronicabronica200mmf45zenzanons,lens,Bronica,Bronica 200mm f/4.5 Zenzanon-S,Zenza Bronica | ブロニカ,Medium-format lens,中判レンズ,120,MF,lens,Bronica S/PS,,,460,610,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
bronicabronica250mmf56zenzanonpg,lens,Bronica,Bronica 250mm f/5.6 Zenzanon PG,Zenza Bronica | ブロニカ,Medium-format lens,中判レンズ,120,MF,lens,Bronica GS-1,,,460,610,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
bronicabronica40mmf4zenzanonmce,lens,Bronica,Bronica 40mm f/4 Zenzanon MC E,Zenza Bronica | ブロニカ,Medium-format lens,中判レンズ,120,MF,lens,Bronica E/PE,,,460,610,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
bronicabronica40mmf4zenzanons,lens,Bronica,Bronica 40mm f/4 Zenzanon S,Zenza Bronica | ブロニカ,Medium-format lens,中判レンズ,120,MF,lens,Bronica S/PS,,,460,610,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
bronicabronica45mmf4rf,lens,Bronica,Bronica 45mm f/4 RF,Zenza Bronica | ブロニカ,Medium-format lens,中判レンズ,120,MF,lens,,,,460,610,同ジャンルの既知機種からの推定範囲,genre-estimate,D,open-model-catalog,lens-medium,315,255,385
