weight_limit_g,rate_table_name,eu_buyer_shipping_usd,service,incoterm,verified_date
100,INT-AP-0100G-V2,8.99,Japan Post International Air Packet,DDU,2026-07-06
200,INT-AP-0200G-V2,9.99,Japan Post International Air Packet,DDU,2026-07-06
300,INT-AP-0300G-V2,11.99,Japan Post International Air Packet,DDU,2026-07-06
400,INT-AP-0400G-V2,12.99,Japan Post International Air Packet,DDU,2026-07-06
500,INT-AP-0500G-V2,14.99,Japan Post International Air Packet,DDU,2026-07-06
600,INT-AP-0600G-V2,15.99,Japan Post International Air Packet,DDU,2026-07-06
700,INT-AP-0700G-V2,16.99,Japan Post International Air Packet,DDU,2026-07-06
800,INT-AP-0800G-V2,18.99,Japan Post International Air Packet,DDU,2026-07-06
900,INT-AP-0900G-V2,19.99,Japan Post International Air Packet,DDU,2026-07-06
1000,INT-AP-1000G-V2,21.99,Japan Post International Air Packet,DDU,2026-07-06
1100,INT-AP-1100G-V2,22.99,Japan Post International Air Packet,DDU,2026-07-06
1200,INT-AP-1200G-V2,24.99,Japan Post International Air Packet,DDU,2026-07-06
1300,INT-AP-1300G-V2,25.99,Japan Post International Air Packet,DDU,2026-07-06
1400,INT-AP-1400G-V2,26.99,Japan Post International Air Packet,DDU,2026-07-06
1500,INT-AP-1500G-V2,28.99,Japan Post International Air Packet,DDU,2026-07-06
1600,INT-AP-1600G-V2,29.99,Japan Post International Air Packet,DDU,2026-07-06
1700,INT-AP-1700G-V2,31.99,Japan Post International Air Packet,DDU,2026-07-06
1800,INT-AP-1800G-V2,32.99,Japan Post International Air Packet,DDU,2026-07-06
1900,INT-AP-1900G-V2,33.99,Japan Post International Air Packet,DDU,2026-07-06
2000,INT-AP-2000G-V2,35.99,Japan Post International Air Packet,DDU,2026-07-06
